Retailer,SKU,Units,StartDate,EndDate,SourceFile
Amazon,CordMate-OG,1,2025-01-20,2025-01-24,2025 All Sheets.xlsx::Amazon
Amazon,CordMate-OG,1,2025-11-17,2025-11-21,2025 All Sheets.xlsx::Amazon
Amazon,CordMate-Pro,1,2025-01-20,2025-01-24,2025 All Sheets.xlsx::Amazon
Amazon,CordMate-Pro,1,2025-12-29,2025-12-31,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,1,2025-01-13,2025-01-17,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,6,2025-04-28,2025-05-02,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,4,2025-05-05,2025-05-09,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,1,2025-05-26,2025-05-30,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,1,2025-07-07,2025-07-11,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,3,2025-07-14,2025-07-18,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,2,2025-07-21,2025-07-25,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,1,2025-09-22,2025-09-26,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,2,2025-12-22,2025-12-26,2025 All Sheets.xlsx::Amazon
Amazon,EGL1,2,2025-12-29,2025-12-31,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,30,2025-01-01,2025-01-03,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,139,2025-01-06,2025-01-10,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,146,2025-01-13,2025-01-17,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,149,2025-01-20,2025-01-24,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,129,2025-01-27,2025-01-31,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,144,2025-02-03,2025-02-07,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,103,2025-02-10,2025-02-14,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,136,2025-02-17,2025-02-21,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,159,2025-02-24,2025-02-28,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,201,2025-03-03,2025-03-07,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,138,2025-03-10,2025-03-14,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,199,2025-03-17,2025-03-21,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,201,2025-03-24,2025-03-28,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,239,2025-03-31,2025-04-04,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,277,2025-04-07,2025-04-11,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,267,2025-04-14,2025-04-18,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,172,2025-04-21,2025-04-25,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,279,2025-04-28,2025-05-02,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,302,2025-05-05,2025-05-09,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,267,2025-05-12,2025-05-16,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,305,2025-05-19,2025-05-23,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,325,2025-05-26,2025-05-30,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,299,2025-06-02,2025-06-06,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,354,2025-06-09,2025-06-13,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,341,2025-06-16,2025-06-20,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,289,2025-06-23,2025-06-27,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,326,2025-06-30,2025-07-04,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,340,2025-07-07,2025-07-11,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,266,2025-07-14,2025-07-18,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,311,2025-07-21,2025-07-25,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,283,2025-07-28,2025-08-01,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,261,2025-08-04,2025-08-08,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,226,2025-08-11,2025-08-15,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,230,2025-08-18,2025-08-22,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,263,2025-08-25,2025-08-29,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,228,2025-09-01,2025-09-05,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,128,2025-09-08,2025-09-12,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,241,2025-09-15,2025-09-19,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,190,2025-09-22,2025-09-26,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,191,2025-09-29,2025-10-03,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,189,2025-10-06,2025-10-10,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,203,2025-10-13,2025-10-17,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,186,2025-10-20,2025-10-24,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,150,2025-10-27,2025-10-31,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,156,2025-11-03,2025-11-07,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,161,2025-11-10,2025-11-14,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,159,2025-11-17,2025-11-21,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,106,2025-11-24,2025-11-28,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,126,2025-12-01,2025-12-05,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,82,2025-12-08,2025-12-12,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,66,2025-12-15,2025-12-19,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,99,2025-12-22,2025-12-26,2025 All Sheets.xlsx::Amazon
Amazon,EGLAI1,62,2025-12-29,2025-12-31,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,1,2025-01-01,2025-01-03,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,1,2025-01-13,2025-01-17,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,1,2025-01-27,2025-01-31,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,1,2025-02-03,2025-02-07,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,5,2025-02-10,2025-02-14,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,6,2025-02-17,2025-02-21,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,2,2025-02-24,2025-02-28,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,4,2025-03-03,2025-03-07,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,5,2025-03-10,2025-03-14,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,11,2025-03-17,2025-03-21,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,5,2025-03-24,2025-03-28,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,15,2025-03-31,2025-04-04,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,13,2025-04-07,2025-04-11,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,6,2025-04-14,2025-04-18,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,6,2025-04-21,2025-04-25,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,7,2025-04-28,2025-05-02,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,11,2025-05-05,2025-05-09,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,8,2025-05-12,2025-05-16,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,15,2025-05-19,2025-05-23,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,11,2025-05-26,2025-05-30,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,8,2025-06-02,2025-06-06,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,8,2025-06-09,2025-06-13,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,11,2025-06-16,2025-06-20,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,12,2025-06-23,2025-06-27,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,16,2025-06-30,2025-07-04,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,13,2025-07-07,2025-07-11,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,11,2025-07-14,2025-07-18,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,2,2025-07-21,2025-07-25,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,19,2025-07-28,2025-08-01,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,12,2025-08-04,2025-08-08,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,3,2025-08-18,2025-08-22,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,6,2025-08-25,2025-08-29,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,5,2025-09-01,2025-09-05,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,7,2025-09-08,2025-09-12,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,5,2025-09-15,2025-09-19,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,5,2025-09-22,2025-09-26,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,5,2025-09-29,2025-10-03,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,5,2025-10-13,2025-10-17,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,3,2025-10-20,2025-10-24,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,1,2025-11-03,2025-11-07,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,4,2025-11-17,2025-11-21,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,4,2025-11-24,2025-11-28,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,6,2025-12-01,2025-12-05,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,5,2025-12-08,2025-12-12,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,2,2025-12-15,2025-12-19,2025 All Sheets.xlsx::Amazon
Amazon,EZC17,3,2025-12-22,2025-12-26,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,5,2025-01-06,2025-01-10,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,6,2025-01-13,2025-01-17,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,10,2025-01-20,2025-01-24,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,9,2025-01-27,2025-01-31,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,9,2025-02-03,2025-02-07,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,10,2025-02-10,2025-02-14,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,11,2025-02-17,2025-02-21,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,22,2025-02-24,2025-02-28,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,8,2025-03-03,2025-03-07,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,20,2025-03-10,2025-03-14,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,19,2025-03-17,2025-03-21,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,11,2025-03-24,2025-03-28,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,1,2025-03-31,2025-04-04,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,4,2025-05-26,2025-05-30,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,4,2025-06-02,2025-06-06,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,7,2025-06-09,2025-06-13,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,15,2025-06-16,2025-06-20,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,6,2025-06-23,2025-06-27,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,8,2025-06-30,2025-07-04,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,7,2025-07-07,2025-07-11,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,2,2025-07-21,2025-07-25,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,6,2025-09-29,2025-10-03,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,2,2025-10-06,2025-10-10,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,3,2025-10-13,2025-10-17,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,6,2025-10-20,2025-10-24,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,1,2025-10-27,2025-10-31,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,1,2025-11-03,2025-11-07,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,5,2025-11-10,2025-11-14,2025 All Sheets.xlsx::Amazon
Amazon,EZC21,6,2025-11-17,2025-11-21,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,2025-02-03,2025-02-07,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,2025-02-17,2025-02-21,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,2025-02-24,2025-02-28,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,4,2025-03-10,2025-03-14,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,2,2025-03-17,2025-03-21,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,3,2025-04-07,2025-04-11,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,2,2025-04-14,2025-04-18,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,2025-04-28,2025-05-02,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,2,2025-05-05,2025-05-09,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,2025-05-19,2025-05-23,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,4,2025-06-02,2025-06-06,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,3,2025-06-16,2025-06-20,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,2,2025-06-30,2025-07-04,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,2,2025-07-21,2025-07-25,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,2025-07-28,2025-08-01,2025 All Sheets.xlsx::Amazon
Amazon,EZC21B,1,2025-11-17,2025-11-21,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,2,2025-01-01,2025-01-03,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,4,2025-01-06,2025-01-10,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,7,2025-01-13,2025-01-17,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,4,2025-01-20,2025-01-24,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,3,2025-01-27,2025-01-31,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,2,2025-02-03,2025-02-07,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,4,2025-02-10,2025-02-14,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,7,2025-02-17,2025-02-21,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,6,2025-02-24,2025-02-28,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,6,2025-03-03,2025-03-07,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,10,2025-03-10,2025-03-14,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,21,2025-03-17,2025-03-21,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,10,2025-03-24,2025-03-28,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,10,2025-03-31,2025-04-04,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,6,2025-04-07,2025-04-11,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,15,2025-04-14,2025-04-18,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,19,2025-04-21,2025-04-25,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,6,2025-04-28,2025-05-02,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,15,2025-05-05,2025-05-09,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,19,2025-05-12,2025-05-16,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,18,2025-05-19,2025-05-23,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,10,2025-05-26,2025-05-30,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,12,2025-06-02,2025-06-06,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,3,2025-06-09,2025-06-13,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,1,2025-07-07,2025-07-11,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,2,2025-07-14,2025-07-18,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,15,2025-07-21,2025-07-25,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,6,2025-07-28,2025-08-01,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,10,2025-08-04,2025-08-08,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,9,2025-08-11,2025-08-15,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,8,2025-08-18,2025-08-22,2025 All Sheets.xlsx::Amazon
Amazon,EZD17,11,2025-08-25,2025-08-29,2025 All Sheets.xlsx::Amazon
